,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition
0,tailwindcss,tailwindlabs/tailwindcss,[],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2022-12-03 14:58:25,2022-12-03 14:58:24,4943,151.0,3154,571,2008.0,2.0,2615.0,62802,2022-11-11 17:26:11,3.2.4,457024.0,17577.0,100.0,A utility-first CSS framework for rapid UI development.,3072836.0,3072836.0,254.0,44,True,1,
1,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2022-12-03 05:29:43,2022-10-15 09:09:33,1207,5.0,9402,789,946.0,81.0,1163.0,27903,2021-06-17 15:52:07,4.0.2,,,51.0,Centralized State Management for Vue.js.,1085453.0,1085453.0,334.0,36,True,1,
2,vue-devtools,vuejs/devtools,[],dev-tools,https://github.com/vuejs/devtools,https://github.com/vuejs/devtools,MIT,2014-09-29 03:52:07,2022-12-03 02:44:34,2022-10-18 13:19:02,2060,53.0,3894,517,402.0,413.0,1089.0,23146,2022-10-18 13:19:33,6.4.5,97022.0,1366.0,83.0,Browser devtools extension for debugging Vue.js applications.,2221.0,2221.0,125.0,35,True,1,True
3,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2022-12-03 17:18:47,2022-12-03 17:01:31,5166,83.0,1018,186,1477.0,173.0,964.0,21872,2022-10-29 14:37:13,xstate@4.34.0,,,100.0,State machines and statecharts for the modern web.,163746.0,163746.0,317.0,34,True,2,
4,mdb-ui-kit,mdbootstrap/mdb-ui-kit,['vue3'],dnd,https://github.com/mdbootstrap/mdb-ui-kit,https://github.com/mdbootstrap/mdb-ui-kit,MIT,2014-08-18 11:54:00,2022-11-29 12:15:22,2022-11-29 12:15:21,1462,6.0,3381,786,331.0,5.0,1151.0,22855,2022-11-21 08:27:13,6.0.1,,,25.0,Bootstrap 5 & Material Design 2.0 UI KIT.,6168.0,6168.0,117.0,32,True,1,
5,CoreUI,coreui/coreui,['bootstrap5'],css-frameworks,https://github.com/coreui/coreui,https://github.com/coreui/coreui,MIT,2018-03-27 11:09:56,2022-12-02 19:21:04,2022-12-02 19:19:19,22135,11.0,184,26,358.0,2.0,127.0,579,2022-12-02 19:21:04,4.2.4,3159.0,58.0,72.0,Open Source UI Kit built on top of Bootstrap 5 and plain JavaScript without any additional libraries like jQuery.,20788.0,20788.0,1527.0,32,True,3,
6,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2022-12-03 13:44:39,2022-12-03 13:44:37,1545,55.0,613,44,654.0,22.0,438.0,9362,2022-11-27 09:07:45,pinia@2.0.27,,,81.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",49105.0,49105.0,142.0,31,True,2,
7,Headless UI,tailwindlabs/headlessui,['tailwind'],components,https://github.com/tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,MIT,2020-09-16 09:53:09,2022-12-02 22:56:35,2022-12-02 22:56:33,484,45.0,712,164,440.0,13.0,729.0,17965,2022-11-03 15:23:17,@headlessui/react@v1.7.4,,,60.0,"Completely unstyled, fully accessible UI components, designed to integrate beautifully with Tailwind CSS.",572.0,572.0,38.0,28,True,1,
8,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2022-12-03 14:02:49,2022-12-03 14:02:47,1442,6.0,5033,532,946.0,64.0,2738.0,18919,2022-09-06 10:10:34,3.6.5,,,90.0,The official router for Vue 2.,,,284.0,27,True,1,
9,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2022-11-29 12:21:22,2022-11-29 12:21:22,2115,31.0,790,41,987.0,29.0,598.0,2561,2022-10-24 08:04:24,4.1.6,,,51.0,The official router for Vue.js.,,,167.0,24,True,3,
10,CoreUI Components,coreui/coreui-vue,['coreui'],components,https://github.com/coreui/coreui-vue,https://github.com/coreui/coreui-vue,MIT,2018-02-26 18:15:21,2022-11-10 13:26:51,2022-11-10 13:26:47,351,18.0,113,18,43.0,9.0,179.0,532,2022-11-10 12:50:56,4.5.0,,,77.0,Bootstrap 5 based Vue 3 components and directives. CoreUI for Vue.js replaces and extends the Bootstrap 5 javascript...,2608.0,2608.0,6.0,23,True,3,
