,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,new_addition,trending
0,tailwindcss,tailwindlabs/tailwindcss,[],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2022-12-05 17:41:00,2022-12-05 17:40:57,4945,152.0,3160,571,2009.0,2.0,2617.0,62891,2022-11-11 17:26:11,3.2.4,473341.0,18205.0,100.0,A utility-first CSS framework for rapid UI development.,3103638.0,3103638.0,255.0,44,True,1,,,,,
1,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2022-12-03 05:29:43,2022-10-15 09:09:33,1207,5.0,9401,787,946.0,81.0,1163.0,27904,2021-06-17 15:52:07,4.0.2,,7701781.0,51.0,Centralized State Management for Vue.js.,1086897.0,1086897.0,334.0,43,True,1,vuex,https://www.npmjs.com/package/vuex,7701781.0,,
2,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2022-12-06 16:31:05,2022-12-05 04:30:59,5167,78.0,1020,187,1478.0,173.0,964.0,21924,2022-12-05 04:34:29,xstate@4.35.0,,5251324.0,100.0,State machines and statecharts for the modern web.,164308.0,164308.0,318.0,41,True,2,xstate,https://www.npmjs.com/package/xstate,5251324.0,,
3,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2022-12-06 17:16:59,2022-12-06 16:56:47,11326,175.0,2446,296,5326.0,613.0,3937.0,18285,2022-12-06 17:22:26,3.7.2,,,22.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",154869.0,154869.0,784.0,38,True,1,,,,,
4,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2022-12-04 22:28:39,2022-12-04 22:25:39,12503,258.0,2952,471,4281.0,365.0,6686.0,22489,2022-12-04 22:28:25,@quasar/extras-v1.15.7,,,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,29052.0,29052.0,621.0,37,True,1,,,,True,
5,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2022-12-06 19:31:31,2022-12-06 08:36:21,4361,295.0,7088,180,5323.0,842.0,3788.0,18004,2022-12-02 08:02:21,2.2.26,,,100.0,A Vue.js 3 UI Library made by Element team.,35705.0,35705.0,427.0,37,True,1,,,,True,
6,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2022-12-03 13:44:39,2022-12-03 13:44:37,1545,53.0,613,44,654.0,22.0,438.0,9376,2022-11-27 09:07:45,pinia@2.0.27,,1634211.0,81.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",49776.0,49776.0,142.0,37,True,2,pinia,https://www.npmjs.com/package/pinia,1634211.0,,
7,vue-devtools,vuejs/devtools,[],dev-tools,https://github.com/vuejs/devtools,https://github.com/vuejs/devtools,MIT,2014-09-29 03:52:07,2022-12-05 23:55:19,2022-12-05 23:55:16,2061,54.0,3898,517,403.0,414.0,1089.0,23157,2022-10-18 13:19:33,6.4.5,97052.0,1366.0,83.0,Browser devtools extension for debugging Vue.js applications.,2223.0,2223.0,125.0,35,True,1,,,,,
8,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2022-12-03 14:02:49,2022-12-03 14:02:47,1442,2.0,5035,532,946.0,64.0,2739.0,18920,2022-09-06 10:10:34,3.6.5,,10223439.0,90.0,The official router for Vue 2.,,,284.0,33,True,1,vue-router,https://www.npmjs.com/package/vue-router,10223439.0,,-1.0
9,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2022-12-06 10:12:03,2022-11-25 07:47:23,4606,39.0,3301,307,1268.0,153.0,4568.0,17468,2022-12-01 13:33:51,3.3.0-beta.4,,,100.0,An enterprise-class UI components based on Ant Design and Vue.,38214.0,38214.0,214.0,33,False,2,,,,True,
