,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,new_addition
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2022-12-24 02:17:38,2022-12-22 06:55:34,4957.0,139.0,3177.0,575.0,2028.0,3.0,2642.0,63364.0,2022-11-11 17:26:11,3.2.4,566396.0,21784.0,100.0,A utility-first CSS framework for rapid UI development.,3262739.0,3262739.0,257.0,44,True,1,,,,,
1,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2022-12-26 10:03:50,2022-12-25 15:43:44,1379.0,98.0,9792.0,1216.0,1259.0,290.0,3749.0,97883.0,2022-12-05 19:44:04,1.2.1,,,47.0,Promise based HTTP client for the browser and node.js.,7986842.0,7986842.0,430.0,43,True,1,,,,,
2,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2022-12-20 12:05:07,2022-12-08 17:05:36,1208.0,6.0,9395.0,786.0,948.0,82.0,1163.0,27910.0,2021-06-17 15:52:07,4.0.2,,7045705.0,51.0,Centralized State Management for Vue.js.,1098317.0,1098317.0,334.0,43,True,1,vuex,https://www.npmjs.com/package/vuex,7045705.0,,
3,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2022-12-26 10:14:45,2022-12-22 13:25:56,4394.0,246.0,7318.0,182.0,5385.0,853.0,3825.0,18170.0,2022-12-16 15:48:21,2.2.27,,477206.0,100.0,A Vue.js 3 UI Library made by Element team.,36991.0,36991.0,433.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,477206.0,,
4,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2022-12-25 06:47:58,2022-12-24 12:58:35,12541.0,187.0,2979.0,472.0,4297.0,358.0,6706.0,22591.0,2022-12-24 13:32:17,quasar-v2.11.2,,459143.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,29678.0,29678.0,627.0,42,True,1,quasar,https://www.npmjs.com/package/quasar,459143.0,-1.0,
5,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2022-12-22 16:38:07,2022-12-19 16:17:30,5169.0,52.0,1028.0,187.0,1495.0,174.0,966.0,22143.0,2022-12-19 16:23:06,xstate@4.35.1,,4913413.0,100.0,State machines and statecharts for the modern web.,171615.0,171615.0,318.0,41,True,1,xstate,https://www.npmjs.com/package/xstate,4913413.0,,
6,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2022-12-25 23:36:19,2022-12-24 01:28:04,3167.0,167.0,1440.0,437.0,3039.0,276.0,1841.0,55925.0,2022-12-22 14:51:11,tauri-v2.0.0-alpha.2,183345.0,31406.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",9090.0,9090.0,222.0,38,True,1,tauri,https://www.npmjs.com/package/tauri,849.0,,True
7,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2022-12-17 00:11:26,2022-12-02 13:28:21,1714.0,9.0,3838.0,609.0,1102.0,175.0,2278.0,46578.0,2022-05-08 13:50:59,0.9.4,667137.0,10760.0,17.0,Modern CSS framework based on Flexbox.,210158.0,210158.0,394.0,38,True,3,,,,,
8,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2022-12-24 16:50:19,2022-12-24 16:46:48,11357.0,144.0,2457.0,298.0,5363.0,590.0,3977.0,18327.0,2022-12-15 18:42:45,3.7.3,,,23.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",156732.0,156732.0,789.0,38,True,1,,,,,
9,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2022-12-26 03:59:40,2022-12-15 02:54:20,4609.0,34.0,3321.0,302.0,1275.0,151.0,4588.0,17553.0,2022-12-01 13:33:51,3.3.0-beta.4,,311480.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,38747.0,38747.0,217.0,38,True,2,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,311480.0,,
10,Relay,facebook/relay,"['vue2', 'vue3']",graphql-clients,https://github.com/facebook/relay,https://github.com/facebook/relay,MIT,2015-08-10 22:09:16,2022-12-23 22:55:51,2022-12-23 04:05:07,8649.0,236.0,1634.0,351.0,2099.0,389.0,1640.0,17490.0,2022-07-27 17:37:43,14.1.0,,,78.0,Relay is a JavaScript framework for building data-driven React applications.,6073.0,6073.0,756.0,37,True,2,,,,,
11,Naive UI,tusen-ai/naive-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2022-12-26 09:23:43,2022-12-25 07:49:56,8092.0,232.0,1229.0,73.0,2234.0,237.0,1612.0,11200.0,,,,66119.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,5095.0,5095.0,228.0,37,True,2,naive-ui,https://www.npmjs.com/package/naive-ui,66119.0,1.0,
12,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2022-12-17 08:51:47,2022-12-17 08:51:47,1555.0,59.0,629.0,44.0,661.0,25.0,450.0,9483.0,2022-12-09 10:30:12,pinia@2.0.28,,1578809.0,82.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",53404.0,53404.0,146.0,37,True,2,pinia,https://www.npmjs.com/package/pinia,1578809.0,,
13,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2022-12-26 09:41:38,2022-12-26 09:41:33,4771.0,79.0,602.0,48.0,747.0,227.0,2457.0,3180.0,2022-12-08 09:19:52,3.21.0,,304338.0,100.0,Next Generation Vue UI Component Library.,8893.0,8893.0,107.0,36,True,2,primevue,https://www.npmjs.com/package/primevue,304338.0,,
14,vue-devtools,vuejs/devtools,[],dev-tools,https://github.com/vuejs/devtools,https://github.com/vuejs/devtools,MIT,2014-09-29 03:52:07,2022-12-07 14:12:05,2022-12-05 23:55:16,2061.0,27.0,3909.0,515.0,404.0,416.0,1089.0,23195.0,2022-10-18 13:19:33,6.4.5,97366.0,1371.0,83.0,Browser devtools extension for debugging Vue.js applications.,2256.0,2256.0,125.0,34,True,1,,,,-1.0,
15,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2022-12-14 08:59:10,2022-12-14 08:59:03,1444.0,4.0,5040.0,530.0,948.0,64.0,2741.0,18923.0,2022-09-06 10:10:34,3.6.5,,9460330.0,90.0,The official router for Vue 2.,,,284.0,34,True,1,vue-router,https://www.npmjs.com/package/vue-router,9460330.0,,
16,Amplify UI,aws-amplify/amplify-ui,['vue3'],ui-frameworks,https://github.com/aws-amplify/amplify-ui,https://github.com/aws-amplify/amplify-ui,Apache-2.0,2021-03-25 19:11:52,2022-12-23 21:37:23,2022-12-23 20:33:09,1853.0,253.0,142.0,57.0,2404.0,111.0,618.0,569.0,2022-12-22 23:02:53,@aws-amplify/ui-react-native@1.2.1,,101808.0,100.0,"Amplify UI is a collection of accessible, themeable, performant React (and more!) components that can connect directly..",34440.0,34440.0,70.0,34,True,3,@aws-amplify/ui-vue,https://www.npmjs.com/package/@aws-amplify/ui-vue,101808.0,,
17,mdb-ui-kit,mdbootstrap/mdb-ui-kit,['vue3'],dnd,https://github.com/mdbootstrap/mdb-ui-kit,https://github.com/mdbootstrap/mdb-ui-kit,MIT,2014-08-18 11:54:00,2022-11-29 12:15:22,2022-11-29 12:15:21,1462.0,6.0,3386.0,785.0,331.0,5.0,1153.0,22910.0,2022-11-21 08:27:13,6.0.1,,,25.0,Bootstrap 5 & Material Design 2.0 UI KIT.,6458.0,6458.0,117.0,32,True,1,,,,,
18,Vuestic UI,epicmaxco/vuestic-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/epicmaxco/vuestic-ui,https://github.com/epicmaxco/vuestic-ui,MIT,2019-08-03 11:58:26,2022-12-26 06:18:05,2022-12-23 11:04:10,2662.0,166.0,202.0,23.0,1155.0,295.0,1312.0,1976.0,2022-12-13 08:48:01,1.5.3,,6145.0,22.0,Free and Open Source UI Library for Vue 3.,709.0,709.0,84.0,32,True,3,vuestic-ui,https://www.npmjs.com/package/vuestic-ui,6145.0,,
