,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,new_addition,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2023-01-27 20:35:16,2023-01-27 18:57:02,5003.0,120.0,3239.0,579.0,2066.0,2.0,2691.0,64526.0,2022-11-11 17:26:11,3.2.4,650310.0,24085.0,100.0,A utility-first CSS framework for rapid UI development.,3577643.0,3577643.0,258.0,44,True,1,,,,,,
1,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2023-01-28 05:53:08,2023-01-27 00:01:36,1407.0,78.0,9843.0,1211.0,1299.0,316.0,3766.0,98455.0,2023-01-26 15:06:32,1.2.5,,,51.0,Promise based HTTP client for the browser and node.js.,8300983.0,8300983.0,433.0,43,True,1,,,,,,
2,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2023-01-19 16:56:13,2022-12-08 17:05:36,1208.0,1.0,9414.0,781.0,952.0,83.0,1163.0,27943.0,2021-06-17 15:52:07,4.0.2,,6696690.0,51.0,Centralized State Management for Vue.js.,1120539.0,1120539.0,334.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,6696690.0,,,
3,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2023-01-27 16:10:10,2023-01-21 11:23:08,12611.0,144.0,2994.0,474.0,4321.0,353.0,6746.0,22756.0,2023-01-19 14:29:41,@quasar/extras-1.15.10,,465801.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,31028.0,31028.0,630.0,42,True,1,quasar,https://www.npmjs.com/package/quasar,465801.0,,,
4,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2023-01-28 12:21:43,2023-01-28 02:28:08,4414.0,188.0,7579.0,180.0,5434.0,905.0,3863.0,18445.0,2022-12-30 11:51:06,2.2.28,,416316.0,100.0,A Vue.js 3 UI Library made by Element team.,39135.0,39135.0,440.0,41,True,1,element-plus,https://www.npmjs.com/package/element-plus,416316.0,,,
5,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2023-01-27 04:24:13,2023-01-08 16:38:27,5371.0,19.0,1832.0,303.0,3657.0,137.0,3196.0,14182.0,2022-04-17 12:49:53,2.22.0,,1453012.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,152714.0,152714.0,355.0,41,True,1,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1453012.0,True,,
6,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2023-01-28 11:32:18,2023-01-28 01:28:29,5187.0,36.0,1046.0,186.0,1539.0,167.0,982.0,22565.0,2023-01-28 01:32:53,@xstate/react@3.1.0,,5036306.0,100.0,State machines and statecharts for the modern web.,181446.0,181446.0,323.0,40,True,1,xstate,https://www.npmjs.com/package/xstate,5036306.0,,-1.0,
7,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2023-01-22 22:45:07,2023-01-22 22:45:07,1719.0,10.0,3835.0,609.0,1107.0,180.0,2279.0,46709.0,2022-05-08 13:50:59,0.9.4,674631.0,10708.0,17.0,Modern CSS framework based on Flexbox.,215744.0,215744.0,395.0,39,True,3,,,,,,
8,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2023-01-28 10:43:18,2023-01-26 14:23:08,3254.0,182.0,1496.0,447.0,3125.0,306.0,1919.0,57792.0,2023-01-19 00:54:14,cli.rs-v1.2.3,263310.0,38500.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",9949.0,9949.0,235.0,38,True,1,tauri,https://www.npmjs.com/package/tauri,885.0,,,
9,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2023-01-28 11:58:56,2023-01-26 22:16:01,11405.0,125.0,2471.0,299.0,5430.0,556.0,4045.0,18413.0,2023-01-24 20:26:45,3.7.5,,,25.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",160616.0,160616.0,795.0,38,True,1,,,,,,
