,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,updated_github_id,trending
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2023-03-16 17:18:05,2023-03-15 21:31:12,5077.0,123.0,3303.0,590.0,2126.0,4.0,2753.0,66023.0,2023-02-16 19:27:34,3.2.7,821754.0,28336.0,100.0,A utility-first CSS framework for rapid UI development.,4017701.0,4017701.0,260.0,44,True,1,,,,,
1,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2023-03-16 03:01:46,2023-02-22 21:05:31,1434.0,63.0,9932.0,1207.0,1337.0,346.0,3786.0,99237.0,2023-02-22 21:06:16,1.3.4,,,57.0,Promise based HTTP client for the browser and node.js.,8677969.0,8677969.0,437.0,43,True,1,,,,,
2,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2023-03-16 17:09:24,2023-03-16 14:29:24,4554.0,166.0,8308.0,186.0,5658.0,959.0,4076.0,19104.0,2023-03-13 01:21:30,2.3.0,,694625.0,100.0,A Vue.js 3 UI Library made by Element team.,43756.0,43756.0,466.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,694625.0,,
3,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2023-03-09 01:26:55,2023-03-09 01:26:52,1209.0,1.0,9433.0,780.0,956.0,84.0,1164.0,27979.0,2021-06-17 15:52:07,4.0.2,,7781192.0,51.0,Centralized State Management for Vue.js.,1141417.0,1141417.0,334.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,7781192.0,,
4,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2023-03-15 07:32:02,2023-03-15 07:31:19,12673.0,150.0,3046.0,473.0,4362.0,368.0,6782.0,23048.0,2023-02-28 13:59:01,quasar-v2.11.7,,534496.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,32678.0,32678.0,641.0,42,True,1,quasar,https://www.npmjs.com/package/quasar,534496.0,,
5,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2023-03-15 17:27:19,2023-03-07 13:08:30,5228.0,61.0,1065.0,186.0,1595.0,127.0,1032.0,23063.0,2023-03-02 21:43:08,@xstate/inspect@0.8.0,,6353435.0,100.0,State machines and statecharts for the modern web.,196751.0,196751.0,324.0,41,True,1,xstate,https://www.npmjs.com/package/xstate,6353435.0,,
6,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2023-03-16 17:21:35,2023-01-08 16:38:27,5371.0,11.0,1836.0,302.0,3663.0,142.0,3199.0,14236.0,2022-04-17 12:49:53,2.22.0,,1635512.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,155191.0,155191.0,355.0,41,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1635512.0,,
7,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2023-03-16 17:35:56,2023-03-16 12:25:13,3279.0,115.0,1568.0,457.0,3225.0,356.0,2011.0,60616.0,2023-02-02 21:26:43,cli.rs-v2.0.0-alpha.2,393958.0,50350.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",11408.0,11408.0,237.0,39,True,1,tauri,https://www.npmjs.com/package/tauri,1106.0,,
8,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2023-03-13 04:45:44,2023-03-06 07:33:55,1723.0,9.0,3844.0,605.0,1114.0,183.0,2272.0,46907.0,2022-05-08 13:50:59,0.9.4,686321.0,10558.0,17.0,Modern CSS framework based on Flexbox.,220163.0,220163.0,396.0,38,True,3,,,,,
9,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2023-03-16 17:53:22,2023-03-15 18:30:35,11523.0,176.0,2484.0,299.0,5546.0,519.0,4134.0,18558.0,2023-03-02 21:27:53,3.7.10,,,30.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",163807.0,163807.0,809.0,38,True,1,,,,,
10,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2023-03-16 06:42:34,2023-03-16 00:28:54,4620.0,11.0,3386.0,302.0,1361.0,156.0,4671.0,17839.0,2022-12-01 13:33:51,3.3.0-beta.4,,375372.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,41309.0,41309.0,222.0,38,True,2,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,375372.0,,
11,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2023-03-15 11:41:10,2023-03-14 09:46:53,1623.0,69.0,724.0,48.0,706.0,25.0,489.0,10082.0,2023-03-06 09:30:53,pinia@2.0.33,,2407796.0,87.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",75004.0,75004.0,159.0,38,True,2,pinia,https://www.npmjs.com/package/pinia,2407796.0,,
12,Relay,facebook/relay,"['vue2', 'vue3']",graphql-clients,https://github.com/facebook/relay,https://github.com/facebook/relay,MIT,2015-08-10 22:09:16,2023-03-16 12:00:45,2023-03-15 18:38:15,8847.0,206.0,1660.0,344.0,2161.0,416.0,1644.0,17639.0,2023-03-08 22:16:55,15.0.0,,,79.0,Relay is a JavaScript framework for building data-driven React applications.,6275.0,6275.0,772.0,37,True,2,,,,,
13,Naive UI,tusen-ai/naive-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2023-03-16 04:16:41,2023-03-16 01:46:47,8126.0,93.0,1335.0,80.0,2382.0,367.0,1685.0,12023.0,,,,114849.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,7420.0,7420.0,230.0,37,True,2,naive-ui,https://www.npmjs.com/package/naive-ui,114849.0,,
14,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2023-03-16 15:41:49,2023-03-16 14:38:20,5316.0,579.0,661.0,49.0,827.0,289.0,2608.0,3450.0,2023-03-13 13:38:22,3.25.0,,368192.0,100.0,Next Generation Vue UI Component Library.,10133.0,10133.0,123.0,37,True,2,primevue,https://www.npmjs.com/package/primevue,368192.0,,
15,vue-devtools,vuejs/devtools,[],dev-tools,https://github.com/vuejs/devtools,https://github.com/vuejs/devtools,MIT,2014-09-29 03:52:07,2023-03-15 05:39:14,2023-01-31 14:34:50,2080.0,19.0,3947.0,521.0,410.0,420.0,1099.0,23426.0,2023-01-20 15:41:33,6.5.0,98687.0,1333.0,84.0,Browser devtools extension for debugging Vue.js applications.,2393.0,2393.0,131.0,35,True,1,,,,,
16,Amplify UI,aws-amplify/amplify-ui,['vue3'],ui-frameworks,https://github.com/aws-amplify/amplify-ui,https://github.com/aws-amplify/amplify-ui,Apache-2.0,2021-03-25 19:11:52,2023-03-16 16:53:25,2023-03-16 16:52:43,2033.0,208.0,166.0,60.0,2656.0,122.0,663.0,611.0,2023-03-14 22:05:03,@aws-amplify/ui-react@4.4.0,,84564.0,100.0,"Amplify UI is a collection of accessible, themeable, performant React (and more!) components that can connect directly..",36888.0,36888.0,78.0,35,True,3,@aws-amplify/ui-vue,https://www.npmjs.com/package/@aws-amplify/ui-vue,84564.0,,
17,Vuestic UI,epicmaxco/vuestic-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/epicmaxco/vuestic-ui,https://github.com/epicmaxco/vuestic-ui,MIT,2019-08-03 11:58:26,2023-03-16 15:51:48,2023-03-16 15:51:48,2860.0,203.0,225.0,25.0,1291.0,260.0,1518.0,2629.0,2023-03-09 20:47:17,1.6.2,,11693.0,25.0,Free and Open Source UI Library for Vue 3.,812.0,812.0,86.0,34,True,3,vuestic-ui,https://www.npmjs.com/package/vuestic-ui,11693.0,,
18,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2023-03-06 12:48:11,2023-03-06 12:48:11,1449.0,5.0,5050.0,523.0,955.0,64.0,2752.0,18967.0,2022-09-06 10:10:34,3.6.5,,10928311.0,90.0,The official router for Vue 2.,,,287.0,33,True,1,vue-router,https://www.npmjs.com/package/vue-router,10928311.0,,
19,mdb-ui-kit,mdbootstrap/mdb-ui-kit,['vue3'],dnd,https://github.com/mdbootstrap/mdb-ui-kit,https://github.com/mdbootstrap/mdb-ui-kit,MIT,2014-08-18 11:54:00,2023-02-27 09:35:28,2023-02-27 09:34:05,1464.0,2.0,3406.0,785.0,335.0,6.0,1160.0,23150.0,2023-02-27 09:41:20,6.2.0,,,27.0,Bootstrap 5 & Material Design 2.0 UI KIT.,7410.0,7410.0,117.0,31,True,1,,,,,
20,URQL,urql-graphql/urql,"['vue2', 'vue3']",graphql-clients,https://github.com/urql-graphql/urql,https://github.com/urql-graphql/urql,MIT,2018-01-24 01:44:42,2023-03-16 17:30:58,2023-03-16 17:28:55,2435.0,82.0,394.0,96.0,1236.0,13.0,807.0,7866.0,2023-03-10 13:54:17,@urql/core@3.2.2,,,100.0,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,24242.0,24242.0,224.0,31,True,2,,,,,
21,CoreUI,coreui/coreui,['bootstrap5'],css-frameworks,https://github.com/coreui/coreui,https://github.com/coreui/coreui,MIT,2018-03-27 11:09:56,2023-03-14 11:02:55,2023-01-31 13:33:25,22144.0,9.0,183.0,24.0,398.0,2.0,130.0,618.0,2022-12-29 15:06:55,4.2.6,3255.0,57.0,75.0,Open Source UI Kit built on top of Bootstrap 5 and plain JavaScript without any additional libraries like jQuery.,22847.0,22847.0,1527.0,31,True,3,,,,,
22,vue-resource,pagekit/vue-resource,['vue2'],http-clients,https://github.com/pagekit/vue-resource,https://github.com/pagekit/vue-resource,MIT,2014-02-07 23:07:56,2022-12-08 21:37:18,2021-06-14 12:02:28,483.0,,1623.0,261.0,142.0,83.0,452.0,10130.0,2021-06-14 12:05:55,1.5.3,,,53.0,The HTTP client for Vue.js.,127467.0,127467.0,26.0,30,True,3,,,,,
23,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2023-03-16 01:59:29,2023-03-15 12:37:05,2155.0,39.0,893.0,47.0,1019.0,34.0,651.0,2766.0,2022-10-24 08:04:24,4.1.6,,2486276.0,51.0,The official router for Vue.js.,,,179.0,30,True,3,router,https://www.npmjs.com/package/router,2486276.0,,
24,graphql-request,prisma-labs/graphql-request,"['vue2', 'vue3']",graphql-clients,https://github.com/jasonkuhrt/graphql-request,https://github.com/jasonkuhrt/graphql-request,MIT,2017-05-10 20:05:07,2023-03-16 17:33:36,2023-03-16 12:44:48,286.0,26.0,272.0,30.0,229.0,147.0,98.0,5195.0,2023-03-01 16:18:40,5.2.0,,,28.0,Minimal GraphQL client supporting Node and browsers for scripts or simple apps.,170072.0,170072.0,78.0,29,True,3,,,,jasonkuhrt/graphql-request,
25,Headless UI,tailwindlabs/headlessui,['tailwind'],components,https://github.com/tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,MIT,2020-09-16 09:53:09,2023-03-16 15:30:59,2023-03-16 15:30:58,570.0,62.0,795.0,166.0,506.0,7.0,845.0,19497.0,2023-03-03 20:11:42,@headlessui/react@v1.7.13,,,78.0,"Completely unstyled, fully accessible UI components, designed to integrate beautifully with Tailwind CSS.",799.0,799.0,45.0,28,True,1,,,,,
26,Oruga UI,oruga-ui/oruga,"['vue3', 'typescript']",ui-frameworks,https://github.com/oruga-ui/oruga,https://github.com/oruga-ui/oruga,MIT,2020-06-02 07:52:58,2023-03-16 13:27:13,2023-03-16 13:27:04,1369.0,40.0,148.0,15.0,254.0,35.0,211.0,940.0,2022-12-22 09:31:15,0.5.10,,13038.0,28.0,Oruga is a lightweight library of UI components without CSS framework dependency.,109.0,109.0,62.0,27,True,3,@oruga-ui/oruga,https://www.npmjs.com/package/@oruga-ui/oruga,13038.0,,
27,Semantic UI Integration,Semantic-UI-Vue/Semantic-UI-Vue,"['vue3', 'javascript']",ui-frameworks,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,MIT,2017-08-25 10:11:54,2022-12-10 20:30:18,2020-06-03 23:01:02,562.0,,151.0,33.0,271.0,107.0,144.0,938.0,2020-06-03 22:45:05,0.11.0,,9242.0,29.0,Semantic UI integration for Vue.,1744.0,1744.0,71.0,26,True,3,semantic-ui-vue,https://www.npmjs.com/package/semantic-ui-vue,9242.0,,
28,Appolo Client integration,vuejs/apollo,"['vue2', 'vue3', 'appolo']",graphql-integrations,https://github.com/vuejs/apollo,https://github.com/vuejs/apollo,MIT,2016-09-18 18:44:06,2023-03-02 09:31:07,2023-02-22 09:49:10,935.0,9.0,474.0,112.0,439.0,240.0,631.0,5806.0,2021-11-18 13:28:20,3.1.0,,,80.0,Apollo/GraphQL integration for VueJS.,78.0,78.0,124.0,23,True,1,,,,,
29,graphql-hooks,nearform/graphql-hooks,"['vue2', 'vue3']",graphql-clients,https://github.com/nearform/graphql-hooks,https://github.com/nearform/graphql-hooks,,2019-02-08 08:29:00,2023-03-13 22:03:06,2023-03-07 10:25:22,730.0,23.0,83.0,106.0,810.0,,216.0,1811.0,2023-02-25 21:00:15,subscription@3.2.1,,,100.0,Minimal hooks-first GraphQL client.,945.0,945.0,81.0,23,True,3,,,,,
30,CoreUI Components,coreui/coreui-vue,['coreui'],components,https://github.com/coreui/coreui-vue,https://github.com/coreui/coreui-vue,MIT,2018-02-26 18:15:21,2023-02-25 16:53:32,2023-02-25 16:53:29,379.0,28.0,116.0,17.0,43.0,7.0,186.0,553.0,2023-02-22 13:04:43,4.7.0,,,80.0,Bootstrap 5 based Vue 3 components and directives. CoreUI for Vue.js replaces and extends the Bootstrap 5 javascript...,2813.0,2813.0,6.0,23,True,3,,,,,
31,Equal UI,quatrochan/Equal,"['vue3', 'typescript']",ui-frameworks,https://github.com/Equal-UI/Equal,https://github.com/Equal-UI/Equal,MIT,2019-10-15 14:40:47,2023-03-06 12:11:05,2023-03-06 12:07:57,154.0,58.0,55.0,17.0,205.0,,65.0,912.0,,,,1140.0,,Equal UI is a Vue 3 UI library empowered by Tailwindcss.,143.0,143.0,10.0,21,True,3,equal-vue,https://www.npmjs.com/package/equal-vue,1140.0,Equal-UI/Equal,
32,villus,logaretm/villus,"['vue2', 'vue3']",graphql-clients,https://github.com/logaretm/villus,https://github.com/logaretm/villus,MIT,2019-12-22 20:52:31,2023-03-13 23:39:18,2023-03-13 23:39:14,593.0,35.0,28.0,9.0,68.0,7.0,116.0,649.0,2023-03-12 21:40:06,2.2.1,,,62.0,A tiny and fast GraphQL client for Vue.js.,152.0,152.0,21.0,21,True,3,,,,,
33,vuex-orm,vuex-orm/vuex-orm,['vue3'],state-management,https://github.com/vuex-orm/vuex-orm,https://github.com/vuex-orm/vuex-orm,MIT,2017-06-16 18:05:37,2022-12-10 17:16:42,2021-07-03 12:24:14,1334.0,,168.0,38.0,257.0,127.0,415.0,2376.0,2021-05-07 13:12:13,0.36.4,,,100.0,The Vuex plugin to enable Object-Relational Mapping access to the Vuex Store.,,,64.0,20,True,2,,,,,
34,Genql,remorses/genql,"['vue2', 'vue3']",graphql-clients,https://github.com/remorses/genql,https://github.com/remorses/genql,MIT,2020-05-14 20:39:29,2023-03-08 13:42:08,2023-03-08 13:42:08,1180.0,124.0,18.0,8.0,24.0,7.0,82.0,575.0,,,,,,Type safe TypeScript client for any GraphQL API.,202.0,202.0,10.0,19,True,3,,,,,
35,coreui-free-vue-admin-template,coreui/coreui-free-vue-admin-template,"['vue3', 'bootstrap5', 'coreui']",admin-dashboards,https://github.com/coreui/coreui-free-vue-admin-template,https://github.com/coreui/coreui-free-vue-admin-template,,2017-08-15 09:29:16,2023-01-24 13:28:08,2022-11-25 13:52:55,434.0,,893.0,124.0,80.0,,193.0,3135.0,2022-11-25 13:55:14,4.2.0,,,59.0,Open source admin template based on Bootstrap 5 and Vue 3.,,,11.0,18,True,1,,,,,
