,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2023-07-19 13:40:30,2023-07-18 17:02:16,5217.0,89.0,3492.0,594.0,2267.0,10.0,2920.0,70420.0,2023-07-13 16:16:05,3.3.3,1358759.0,41174.0,100.0,A utility-first CSS framework for rapid UI development.,5595917.0,5595917.0,268.0,44,True,1,,,,,
1,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2023-05-28 16:22:06,2023-03-09 01:26:52,1209.0,,9435.0,770.0,962.0,89.0,1165.0,28090.0,2021-06-17 15:52:07,4.0.2,,7343412.0,51.0,Centralized State Management for Vue.js.,1203024.0,1203024.0,334.0,43,True,1,vuex,https://www.npmjs.com/package/vuex,7343412.0,,
2,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2023-07-20 16:08:06,2023-07-20 16:07:58,13224.0,337.0,3161.0,470.0,4453.0,404.0,6893.0,23895.0,2023-07-18 09:43:31,quasar-v2.12.3,,481009.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,37611.0,37611.0,666.0,43,True,1,quasar,https://www.npmjs.com/package/quasar,481009.0,,
3,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2023-07-20 14:14:44,2023-07-20 12:22:16,4732.0,120.0,10119.0,190.0,6043.0,1120.0,4391.0,20594.0,2023-07-14 03:18:17,2.3.8,,809011.0,100.0,A Vue.js 3 UI Library made by Element team.,58034.0,58034.0,505.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,809011.0,,
4,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2023-07-20 08:14:03,2023-07-20 08:13:55,1453.0,4.0,5044.0,515.0,959.0,64.0,2765.0,19003.0,2022-09-06 10:10:34,3.6.5,,11023944.0,90.0,The official router for Vue 2.,1952299.0,1952299.0,289.0,43,True,1,vue-router,https://www.npmjs.com/package/vue-router,11023944.0,1.0,
5,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2023-07-16 15:46:41,2023-04-27 23:04:53,1450.0,8.0,10095.0,1203.0,1385.0,415.0,3829.0,100973.0,2023-04-27 23:05:49,1.4.0,,,60.0,Promise based HTTP client for the browser and node.js.,9956756.0,9956756.0,439.0,41,True,1,,,,-1.0,
6,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2023-07-19 19:49:12,2023-07-12 08:43:16,5260.0,26.0,1109.0,188.0,1764.0,109.0,1083.0,24406.0,2023-07-12 08:48:30,@xstate/svelte@2.1.0,,5489256.0,100.0,State machines and statecharts for the modern web.,222056.0,222056.0,333.0,41,True,1,xstate,https://www.npmjs.com/package/xstate,5489256.0,,
7,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2023-07-20 17:12:24,2023-07-20 12:23:58,3867.0,250.0,1816.0,474.0,3619.0,475.0,2342.0,66664.0,2023-06-17 19:17:25,tauri-cli-v2.0.0-alpha.10,228379.0,47811.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",16895.0,16895.0,284.0,40,True,1,tauri,https://www.npmjs.com/package/tauri,2136.0,,
8,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2023-06-09 14:46:58,2023-01-08 16:38:27,5371.0,,1841.0,296.0,3667.0,158.0,3207.0,14351.0,2022-04-17 12:49:53,2.22.0,,1570666.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,163770.0,163770.0,355.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1570666.0,,
9,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2023-07-20 11:09:17,2023-07-18 15:07:27,1739.0,11.0,3867.0,600.0,1127.0,196.0,2277.0,47347.0,2022-05-08 13:50:59,0.9.4,713861.0,10345.0,17.0,Modern CSS framework based on Flexbox.,231306.0,231306.0,401.0,39,True,3,,,,1.0,
10,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2023-07-20 17:30:44,2023-07-20 11:14:00,6739.0,996.0,745.0,58.0,908.0,396.0,2837.0,4031.0,2023-07-20 11:14:50,3.30.2,,402249.0,100.0,Next Generation Vue UI Component Library.,12892.0,12892.0,149.0,39,True,2,primevue,https://www.npmjs.com/package/primevue,402249.0,1.0,
11,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2023-07-20 07:40:48,2023-07-18 15:18:28,11707.0,117.0,2525.0,293.0,5838.0,467.0,4293.0,18831.0,2023-07-05 19:13:34,3.7.17,,,37.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",198082.0,198082.0,826.0,38,True,1,,,,,
12,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2023-07-20 08:11:42,2023-07-17 01:35:58,4673.0,31.0,3507.0,303.0,1504.0,175.0,4884.0,18376.0,2023-07-03 13:45:43,4.0.0-rc.6,,370548.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,45818.0,45818.0,240.0,38,True,2,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,370548.0,,
13,Naive UI,tusen-ai/naive-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2023-07-19 01:36:16,2023-07-15 12:13:21,8262.0,116.0,1451.0,84.0,2565.0,486.0,1831.0,13204.0,,,,105114.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,19065.0,19065.0,260.0,38,True,2,naive-ui,https://www.npmjs.com/package/naive-ui,105114.0,,
14,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2023-07-19 11:20:31,2023-07-19 11:20:30,1725.0,71.0,827.0,52.0,752.0,26.0,562.0,10837.0,2023-06-14 14:02:48,pinia@2.1.4,,3053766.0,95.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",10315.0,10315.0,185.0,37,True,2,pinia,https://www.npmjs.com/package/pinia,3053766.0,,
15,Relay,facebook/relay,"['vue2', 'vue3']",graphql-clients,https://github.com/facebook/relay,https://github.com/facebook/relay,MIT,2015-08-10 22:09:16,2023-07-20 13:42:03,2023-07-19 01:44:11,8999.0,122.0,1703.0,338.0,2257.0,442.0,1654.0,17852.0,2023-03-08 22:16:55,15.0.0,,,79.0,Relay is a JavaScript framework for building data-driven React applications.,6607.0,6607.0,807.0,36,True,2,,,,,
16,Amplify UI,aws-amplify/amplify-ui,['vue3'],ui-frameworks,https://github.com/aws-amplify/amplify-ui,https://github.com/aws-amplify/amplify-ui,Apache-2.0,2021-03-25 19:11:52,2023-07-20 17:49:28,2023-07-19 19:50:38,2333.0,219.0,201.0,58.0,3227.0,129.0,769.0,671.0,2023-07-06 01:03:11,@aws-amplify/ui-react@5.0.4,,69226.0,100.0,"Amplify UI is a collection of accessible, themeable, performant React (and more!) components that can connect directly..",41230.0,41230.0,95.0,35,True,3,@aws-amplify/ui-vue,https://www.npmjs.com/package/@aws-amplify/ui-vue,69226.0,,
17,Vuestic UI,epicmaxco/vuestic-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/epicmaxco/vuestic-ui,https://github.com/epicmaxco/vuestic-ui,MIT,2019-08-03 11:58:26,2023-07-20 11:41:52,2023-07-20 10:52:10,3076.0,140.0,257.0,30.0,1452.0,318.0,1720.0,2940.0,2023-07-14 09:54:31,1.7.2,,18671.0,32.0,Free and Open Source UI Library for Vue 3.,1044.0,1044.0,99.0,34,True,3,vuestic-ui,https://www.npmjs.com/package/vuestic-ui,18671.0,,
18,vue-devtools,vuejs/devtools,[],dev-tools,https://github.com/vuejs/devtools,https://github.com/vuejs/devtools,MIT,2014-09-29 03:52:07,2023-07-09 13:10:51,2023-04-16 13:45:53,2082.0,,4017.0,520.0,426.0,440.0,1105.0,23797.0,2023-01-20 15:41:33,6.5.0,100407.0,1287.0,84.0,Browser devtools extension for debugging Vue.js applications.,2649.0,2649.0,132.0,33,True,1,,,,1.0,
19,mdb-ui-kit,mdbootstrap/mdb-ui-kit,['vue3'],dnd,https://github.com/mdbootstrap/mdb-ui-kit,https://github.com/mdbootstrap/mdb-ui-kit,MIT,2014-08-18 11:54:00,2023-07-15 17:40:07,2023-06-12 10:38:28,1467.0,3.0,3420.0,784.0,338.0,3.0,1166.0,23510.0,2023-06-12 10:53:03,6.4.0,,,30.0,Bootstrap 5 & Material Design UI KIT.,9309.0,9309.0,118.0,32,True,1,,,,,
20,URQL,urql-graphql/urql,"['vue2', 'vue3']",graphql-clients,https://github.com/urql-graphql/urql,https://github.com/urql-graphql/urql,MIT,2018-01-24 01:44:42,2023-07-20 06:21:56,2023-07-19 19:40:19,2550.0,57.0,410.0,93.0,1348.0,22.0,857.0,8067.0,2023-07-12 15:43:13,@urql/svelte@4.0.3,,,100.0,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,26290.0,26290.0,229.0,31,True,2,,,,,
21,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2023-07-18 05:42:30,2023-07-18 05:42:26,2223.0,50.0,974.0,48.0,1068.0,31.0,733.0,3023.0,2023-07-06 16:34:15,4.2.4,,2444619.0,56.0,The official router for Vue.js.,,,187.0,31,True,3,router,https://www.npmjs.com/package/router,2444619.0,,
22,vue-resource,pagekit/vue-resource,['vue2'],http-clients,https://github.com/pagekit/vue-resource,https://github.com/pagekit/vue-resource,MIT,2014-02-07 23:07:56,2022-12-08 21:37:18,2021-06-14 12:02:28,483.0,,1616.0,261.0,142.0,83.0,453.0,10128.0,2021-06-14 12:05:55,1.5.3,,,53.0,The HTTP client for Vue.js.,128934.0,128934.0,26.0,30,True,3,,,,,
23,graphql-request,prisma-labs/graphql-request,"['vue2', 'vue3']",graphql-clients,https://github.com/jasonkuhrt/graphql-request,https://github.com/jasonkuhrt/graphql-request,MIT,2017-05-10 20:05:07,2023-07-20 17:39:52,2023-06-15 16:07:47,337.0,17.0,287.0,30.0,276.0,110.0,160.0,5386.0,2023-05-23 16:56:08,6.1.0,,,30.0,Minimal GraphQL client supporting Node and browsers for scripts or simple apps.,196715.0,196715.0,83.0,30,True,3,,,,,jasonkuhrt/graphql-request
24,CoreUI,coreui/coreui,['bootstrap5'],css-frameworks,https://github.com/coreui/coreui,https://github.com/coreui/coreui,MIT,2018-03-27 11:09:56,2023-07-18 22:13:39,2023-01-31 13:33:25,22144.0,,186.0,24.0,463.0,3.0,132.0,661.0,2022-12-29 15:06:55,4.2.6,3447.0,56.0,77.0,Open Source UI Kit built on top of Bootstrap 5 and plain JavaScript without any additional libraries like jQuery.,25863.0,25863.0,1527.0,30,True,3,,,,,
25,Headless UI,tailwindlabs/headlessui,['tailwind'],components,https://github.com/tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,MIT,2020-09-16 09:53:09,2023-07-10 08:42:31,2023-07-10 08:42:31,605.0,19.0,871.0,168.0,535.0,22.0,924.0,21471.0,2023-06-01 10:43:22,@headlessui/react@v1.7.15,,,83.0,"Completely unstyled, fully accessible UI components, designed to integrate beautifully with Tailwind CSS.",1210.0,1210.0,51.0,28,True,1,,,,,
26,Oruga UI,oruga-ui/oruga,"['vue3', 'typescript']",ui-frameworks,https://github.com/oruga-ui/oruga,https://github.com/oruga-ui/oruga,MIT,2020-06-02 07:52:58,2023-07-19 06:18:26,2023-07-10 20:42:13,1386.0,15.0,157.0,15.0,271.0,54.0,230.0,1026.0,2023-04-25 21:51:12,0.6.0,,10257.0,29.0,Oruga is a lightweight library of UI components without CSS framework dependency.,118.0,118.0,69.0,28,True,3,@oruga-ui/oruga,https://www.npmjs.com/package/@oruga-ui/oruga,10257.0,,
27,Semantic UI Integration,Semantic-UI-Vue/Semantic-UI-Vue,"['vue3', 'javascript']",ui-frameworks,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,MIT,2017-08-25 10:11:54,2022-12-10 20:30:18,2020-06-03 23:01:02,562.0,,150.0,33.0,271.0,107.0,144.0,939.0,2020-06-03 22:45:05,0.11.0,,7031.0,29.0,Semantic UI integration for Vue.,1796.0,1796.0,71.0,25,True,3,semantic-ui-vue,https://www.npmjs.com/package/semantic-ui-vue,7031.0,,
28,Appolo Client integration,vuejs/apollo,"['vue2', 'vue3', 'appolo']",graphql-integrations,https://github.com/vuejs/apollo,https://github.com/vuejs/apollo,MIT,2016-09-18 18:44:06,2023-07-19 18:08:27,2023-07-04 13:07:40,972.0,37.0,484.0,112.0,442.0,238.0,648.0,5845.0,2021-11-18 13:28:20,3.1.0,,,84.0,Apollo/GraphQL integration for VueJS.,103.0,103.0,128.0,24,True,1,,,,,
29,CoreUI Components,coreui/coreui-vue,['coreui'],components,https://github.com/coreui/coreui-vue,https://github.com/coreui/coreui-vue,MIT,2018-02-26 18:15:21,2023-07-16 14:04:58,2023-07-16 12:32:28,496.0,86.0,122.0,18.0,44.0,3.0,194.0,577.0,2023-07-16 14:04:58,4.10.0,,,88.0,Bootstrap 5 based Vue 3 components and directives. CoreUI for Vue.js replaces and extends the Bootstrap 5 javascript...,3029.0,3029.0,7.0,24,True,3,,,,,
30,graphql-hooks,nearform/graphql-hooks,"['vue2', 'vue3']",graphql-clients,https://github.com/nearform/graphql-hooks,https://github.com/nearform/graphql-hooks,,2019-02-08 08:29:00,2023-07-18 13:16:42,2023-07-18 13:13:25,749.0,9.0,88.0,101.0,869.0,2.0,227.0,1844.0,2023-07-18 13:13:50,typescript-example@3.2.4,,,100.0,Minimal hooks-first GraphQL client.,1029.0,1029.0,85.0,22,True,3,,,,,
