,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,new_addition
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2023-08-27 06:25:53,2023-08-25 23:29:56,5258.0,90.0,3555.0,601.0,2308.0,5.0,2963.0,71456.0,2023-07-13 16:16:05,3.3.3,1532657.0,45078.0,100.0,A utility-first CSS framework for rapid UI development.,6034698.0,6034698.0,273.0,44,True,1,,,,,,
1,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2023-08-25 17:14:59,2023-08-25 17:08:27,13310.0,215.0,3200.0,472.0,4486.0,419.0,6923.0,24134.0,2023-08-25 17:14:59,@quasar/app-vite-v1.4.6,,468546.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,39008.0,39008.0,676.0,43,True,1,quasar,https://www.npmjs.com/package/quasar,468546.0,,,
2,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2023-08-27 08:16:32,2023-08-26 07:01:27,4811.0,146.0,10618.0,192.0,6176.0,1171.0,4482.0,21094.0,2023-08-26 09:16:16,2.3.12,,735921.0,100.0,A Vue.js 3 UI Library made by Element team.,61559.0,61559.0,527.0,43,True,1,element-plus,https://www.npmjs.com/package/element-plus,735921.0,,,
3,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2023-08-09 02:12:02,2023-08-08 11:38:57,1210.0,1.0,9428.0,770.0,964.0,90.0,1166.0,28190.0,2021-06-17 15:52:07,4.0.2,,6684086.0,51.0,Centralized State Management for Vue.js.,1215968.0,1215968.0,335.0,42,True,1,vuex,https://www.npmjs.com/package/vuex,6684086.0,,,
4,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2023-08-26 19:46:32,2023-08-26 19:06:39,6237.0,79.0,1119.0,191.0,1802.0,108.0,1089.0,24653.0,2023-07-27 08:50:15,xstate@4.38.2,,5740398.0,100.0,State machines and statecharts for the modern web.,227593.0,227593.0,335.0,42,True,1,xstate,https://www.npmjs.com/package/xstate,5740398.0,,,
5,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2023-08-27 04:04:35,2023-08-26 19:10:04,1459.0,9.0,10131.0,1213.0,1406.0,425.0,3844.0,101419.0,2023-08-26 19:10:46,1.5.0,,,61.0,Promise based HTTP client for the browser and node.js.,10311304.0,10311304.0,441.0,41,True,1,,,,1.0,,
6,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2023-08-10 09:00:21,2023-07-28 00:24:13,5376.0,4.0,1849.0,295.0,3671.0,156.0,3210.0,14371.0,2022-04-17 12:49:53,2.22.0,,1450579.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,165438.0,165438.0,356.0,40,True,2,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1450579.0,,,
7,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2023-08-27 09:51:53,2023-08-22 06:53:50,5067.0,80.0,3530.0,304.0,1560.0,169.0,4960.0,18570.0,2023-08-22 06:58:20,4.0.1,,379604.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,46917.0,46917.0,253.0,39,True,2,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,379604.0,,,
8,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2023-08-24 10:04:10,2023-08-24 10:04:00,1751.0,50.0,842.0,56.0,765.0,26.0,579.0,11147.0,2023-07-26 14:39:43,pinia@2.1.6,,3076098.0,97.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",139002.0,139002.0,189.0,39,True,2,pinia,https://www.npmjs.com/package/pinia,3076098.0,,,
9,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2023-08-26 12:45:43,2023-08-16 16:06:17,3894.0,128.0,1861.0,478.0,3682.0,512.0,2427.0,67901.0,2023-08-14 15:46:56,tauri-build-v2.0.0-alpha.8,315909.0,64587.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",510.0,510.0,288.0,38,True,1,tauri,https://www.npmjs.com/package/tauri,1406.0,,,
