,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,npm_id,npm_url,npm_monthly_downloads,updated_github_id
0,tailwindcss,tailwindlabs/tailwindcss,['css'],css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2024-03-21 17:57:31,2024-03-21 17:23:31,5240.0,21.0,3850.0,602.0,2552.0,20.0,3156.0,77325.0,2024-01-05 20:47:07,3.4.1,2754080.0,68852.0,100.0,A utility-first CSS framework for rapid UI development.,8596312.0,8596312.0,278.0,45,True,1,-1.0,,,,
1,Element Plus,element-plus/element-plus,"['vue3', 'typescript']",ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2024-03-21 13:41:05,2024-03-19 07:44:20,5160.0,181.0,13313.0,196.0,6758.0,1258.0,5004.0,22851.0,2024-03-08 07:42:04,2.6.1,,944903.0,100.0,A Vue.js 3 UI Library made by Element team.,79789.0,79789.0,587.0,44,True,1,,element-plus,https://www.npmjs.com/package/element-plus,944903.0,
2,vuex,vuejs/vuex,['vue3'],state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-02-19 16:53:19,2023-08-08 11:38:57,1210.0,,9480.0,762.0,970.0,95.0,1165.0,28336.0,2021-06-17 15:52:07,4.0.2,,6913797.0,51.0,Centralized State Management for Vue.js.,1275079.0,1275079.0,335.0,43,True,1,,vuex,https://www.npmjs.com/package/vuex,6913797.0,
3,xstate,statelyai/xstate,[],state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2024-03-21 16:18:32,2024-03-21 09:01:12,6591.0,81.0,1200.0,189.0,2180.0,60.0,1222.0,25975.0,2024-03-02 22:55:57,xstate@5.9.1,,7204112.0,100.0,Actor-based state management & orchestration for complex app logic.,252792.0,252792.0,353.0,43,True,1,,xstate,https://www.npmjs.com/package/xstate,7204112.0,
4,Quasar Framework,quasarframework/quasar,"['vue3', 'javascript']",ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2024-03-20 13:03:50,2024-03-20 13:03:25,13845.0,271.0,3379.0,471.0,4586.0,450.0,7156.0,25083.0,2024-03-14 10:39:10,quasar-v2.15.1,,560015.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,45985.0,45985.0,714.0,43,True,1,,quasar,https://www.npmjs.com/package/quasar,560015.0,
5,Axios,axios/axios,"['vue2', 'vue3']",http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2024-03-21 13:28:29,2024-03-15 16:31:56,1520.0,27.0,10525.0,1203.0,1574.0,526.0,3981.0,103707.0,2024-03-15 16:32:43,1.6.8,,,72.0,Promise based HTTP client for the browser and node.js.,12375177.0,12375177.0,457.0,42,True,1,,,,,
6,PrimeVue,primefaces/primevue,"['vue3', 'typescript']",ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2024-03-21 13:52:37,2024-03-19 14:18:17,9051.0,643.0,961.0,71.0,1161.0,316.0,3938.0,7158.0,2024-03-15 09:13:42,3.50.0,,778931.0,100.0,Next Generation Vue UI Component Library.,19585.0,19585.0,239.0,41,True,2,,primevue,https://www.npmjs.com/package/primevue,778931.0,
7,router,vuejs/router,['vue3'],routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2024-03-18 14:17:18,2024-03-18 14:17:17,2337.0,45.0,1087.0,54.0,1161.0,27.0,811.0,3573.0,2024-02-21 17:12:03,4.3.0,,2671265.0,58.0,The official router for Vue.js.,2199136.0,2199136.0,224.0,41,True,1,,router,https://www.npmjs.com/package/router,2671265.0,
8,Bulma,jgthms/bulma,['css'],css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2024-03-21 18:01:48,2024-03-21 18:01:41,1777.0,22.0,3864.0,596.0,1148.0,217.0,2291.0,48020.0,2024-03-21 17:55:47,1.0.0,772187.0,10028.0,18.0,Modern CSS framework based on Flexbox.,245858.0,245858.0,405.0,40,True,3,1.0,,,,
9,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,"['vue2', 'javascript']",ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2024-01-15 04:29:42,2023-07-28 00:24:13,5376.0,,1842.0,294.0,3674.0,161.0,3219.0,14445.0,2022-04-17 12:49:53,2.22.0,,1489539.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,174112.0,174112.0,356.0,40,True,2,,bootstrap-vue,https://www.npmjs.com/package/bootstrap-vue,1489539.0,
10,pinia,vuejs/pinia,['vue3'],state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2024-03-19 09:42:34,2024-03-19 09:42:32,1881.0,40.0,940.0,65.0,826.0,28.0,640.0,12173.0,2023-10-13 09:39:45,pinia@2.1.7,,4698433.0,98.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",212898.0,212898.0,228.0,39,True,2,,pinia,https://www.npmjs.com/package/pinia,4698433.0,
11,Tauri,tauri-apps/tauri,,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2024-03-20 23:19:29,2024-03-20 22:59:04,4459.0,259.0,2202.0,487.0,4232.0,710.0,2935.0,76141.0,2024-03-20 23:19:26,tauri-cli-v2.0.0-beta.11,30903.0,32193.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",595.0,595.0,350.0,38,True,1,,tauri,https://www.npmjs.com/package/tauri,1290.0,
12,Ant Design Vue,vueComponent/ant-design-vue,['vue3'],ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2024-03-21 03:18:19,2024-03-03 06:09:19,5191.0,24.0,3638.0,303.0,1724.0,204.0,5279.0,19427.0,2024-01-05 11:34:20,4.1.0,,356528.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,52481.0,52481.0,270.0,38,True,2,-1.0,ant-design-vue,https://www.npmjs.com/package/ant-design-vue,356528.0,
13,Appolo Client,apollographql/apollo-client,"['vue2', 'vue3']",graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2024-03-21 17:57:42,2024-03-20 19:07:25,12321.0,130.0,2598.0,289.0,6229.0,478.0,4521.0,19178.0,2024-03-20 19:08:44,3.9.8,,,95.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",180823.0,180823.0,872.0,38,True,1,,,,,
14,Naive UI,tusen-ai/naive-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2024-03-21 09:49:59,2024-03-11 11:04:08,8613.0,150.0,1557.0,87.0,2874.0,255.0,2431.0,14955.0,,,,180393.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,28505.0,28505.0,299.0,38,True,2,-1.0,naive-ui,https://www.npmjs.com/package/naive-ui,180393.0,
15,vee-validate,logaretm/vee-validate,,forms,https://github.com/logaretm/vee-validate,https://github.com/logaretm/vee-validate,MIT,2016-07-30 01:10:44,2024-03-09 15:17:06,2024-03-09 15:17:03,4734.0,23.0,1221.0,115.0,892.0,75.0,3239.0,10483.0,2024-03-10 23:15:18,4.12.6,,,100.0,Painless Vue forms.,77717.0,77717.0,370.0,35,True,1,,,,,
16,vue-router,vuejs/vue-router,['vue2'],routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2024-03-18 05:35:31,2024-03-18 05:35:29,1458.0,4.0,5027.0,510.0,969.0,64.0,2778.0,19010.0,2022-09-06 10:10:34,3.6.5,,12172394.0,90.0,The official router for Vue 2.,3.0,3.0,290.0,34,True,3,,vue-router,https://www.npmjs.com/package/vue-router,12172394.0,
17,Vuestic UI,epicmaxco/vuestic-ui,"['vue3', 'typescript']",ui-frameworks,https://github.com/epicmaxco/vuestic-ui,https://github.com/epicmaxco/vuestic-ui,MIT,2019-08-03 11:58:26,2024-03-20 17:50:12,2024-03-20 17:49:12,3442.0,127.0,312.0,30.0,1649.0,456.0,1932.0,3259.0,2024-03-14 15:26:14,1.9.7,,45568.0,52.0,Free and Open Source UI Library for Vue 3.,1351.0,1351.0,122.0,34,True,3,,vuestic-ui,https://www.npmjs.com/package/vuestic-ui,45568.0,
18,Amplify UI,aws-amplify/amplify-ui,['vue3'],ui-frameworks,https://github.com/aws-amplify/amplify-ui,https://github.com/aws-amplify/amplify-ui,Apache-2.0,2021-03-25 19:11:52,2024-03-21 00:26:57,2024-03-19 22:55:20,2900.0,117.0,242.0,56.0,3876.0,137.0,907.0,755.0,2024-03-18 15:54:04,@aws-amplify/ui-react-liveness@3.0.15,,129100.0,100.0,"Amplify UI is a collection of accessible, themeable, performant React (and more!) components that can connect directly..",47741.0,47741.0,112.0,34,True,3,,@aws-amplify/ui-vue,https://www.npmjs.com/package/@aws-amplify/ui-vue,129100.0,
19,URQL,urql-graphql/urql,"['vue2', 'vue3']",graphql-clients,https://github.com/urql-graphql/urql,https://github.com/urql-graphql/urql,MIT,2018-01-24 01:44:42,2024-03-19 19:02:25,2024-03-16 22:15:00,2650.0,38.0,433.0,89.0,1446.0,18.0,911.0,8440.0,2024-03-09 11:54:21,@urql/exchange-request-policy@1.1.0,,,100.0,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,370065.0,370065.0,246.0,33,True,2,,,,,
20,vue-devtools,vuejs/devtools,[],dev-tools,https://github.com/vuejs/devtools,https://github.com/vuejs/devtools,MIT,2014-09-29 03:52:07,2024-03-21 00:47:14,2024-03-03 22:14:44,2138.0,51.0,4070.0,514.0,439.0,451.0,1127.0,24247.0,2024-02-15 18:10:48,6.6.1,102545.0,1192.0,87.0,Browser devtools extension for debugging Vue.js applications.,3.0,3.0,141.0,32,True,1,,,,,
21,Relay,facebook/relay,"['vue2', 'vue3']",graphql-clients,https://github.com/facebook/relay,https://github.com/facebook/relay,MIT,2015-08-10 22:09:16,2024-03-21 04:34:11,2024-03-21 00:48:18,9447.0,170.0,1751.0,331.0,2426.0,516.0,1681.0,18138.0,2024-01-23 16:49:06,16.2.0,,,82.0,Relay is a JavaScript framework for building data-driven React applications.,3.0,3.0,864.0,31,True,2,,,,,
22,CoreUI,coreui/coreui,['bootstrap5'],css-frameworks,https://github.com/coreui/coreui,https://github.com/coreui/coreui,MIT,2018-03-27 11:09:56,2024-03-20 15:59:07,2024-03-20 14:59:53,22286.0,15.0,185.0,22.0,564.0,,138.0,704.0,2023-09-25 13:42:10,4.3.2,5175.0,75.0,86.0,Open Source UI Kit built on top of Bootstrap 5 and plain JavaScript without any additional libraries like jQuery.,31786.0,31786.0,1526.0,31,True,3,,,,,
23,vue-resource,pagekit/vue-resource,['vue2'],http-clients,https://github.com/pagekit/vue-resource,https://github.com/pagekit/vue-resource,MIT,2014-02-07 23:07:56,2022-12-08 21:37:18,2021-06-14 12:02:28,483.0,,1596.0,259.0,142.0,83.0,453.0,10107.0,2021-06-14 12:05:55,1.5.3,,,53.0,The HTTP client for Vue.js.,130950.0,130950.0,26.0,30,True,3,,,,,
24,graphql-request,prisma-labs/graphql-request,"['vue2', 'vue3']",graphql-clients,https://github.com/jasonkuhrt/graphql-request,https://github.com/jasonkuhrt/graphql-request,MIT,2017-05-10 20:05:07,2024-03-21 18:01:43,2024-03-21 12:43:58,451.0,64.0,294.0,33.0,385.0,15.0,288.0,5623.0,2023-05-23 16:56:08,6.1.0,,,30.0,Minimal GraphQL client.,228386.0,228386.0,88.0,30,True,3,1.0,,,,jasonkuhrt/graphql-request
25,mdb-ui-kit,mdbootstrap/mdb-ui-kit,['vue3'],dnd,https://github.com/mdbootstrap/mdb-ui-kit,https://github.com/mdbootstrap/mdb-ui-kit,,2014-08-18 11:54:00,2024-03-11 11:19:56,2024-03-11 11:17:27,1474.0,2.0,3458.0,779.0,339.0,12.0,1172.0,23978.0,2024-03-11 11:46:21,7.2.0,,,35.0,Bootstrap 5 & Material Design UI KIT.,11644.0,11644.0,119.0,29,True,1,,,,,
26,Headless UI,tailwindlabs/headlessui,['tailwind'],components,https://github.com/tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,MIT,2020-09-16 09:53:09,2024-03-21 12:46:18,2024-03-21 12:46:17,709.0,32.0,986.0,168.0,613.0,22.0,1096.0,23889.0,2024-02-07 21:50:10,@headlessui/vue@v1.7.19,,,96.0,"Completely unstyled, fully accessible UI components, designed to integrate beautifully with Tailwind CSS.",2824.0,2824.0,59.0,28,True,1,,,,,
27,vuelidate,vuelidate/vuelidate,,forms,https://github.com/vuelidate/vuelidate,https://github.com/vuelidate/vuelidate,MIT,2016-11-05 14:30:37,2024-03-20 18:31:29,2023-12-22 13:21:42,670.0,,495.0,80.0,331.0,180.0,723.0,6800.0,2023-03-26 08:01:51,@vuelidate/core@2.0.1,,,49.0,"Simple, lightweight model-based validation for Vue.js.",46919.0,46919.0,93.0,26,True,2,1.0,,,,
28,formkit,formkit/formkit,,forms,https://github.com/formkit/formkit,https://github.com/formkit/formkit,MIT,2021-06-02 21:35:19,2024-03-19 16:10:52,2024-03-18 14:49:56,1960.0,190.0,147.0,31.0,267.0,69.0,802.0,3987.0,2024-03-11 15:20:16,1.6.0,,,41.0,Vue Forms Supercharged.,77.0,77.0,56.0,26,True,2,-1.0,,,,
29,Oruga UI,oruga-ui/oruga,"['vue3', 'typescript']",ui-frameworks,https://github.com/oruga-ui/oruga,https://github.com/oruga-ui/oruga,MIT,2020-06-02 07:52:58,2024-03-19 07:26:19,2024-03-19 07:26:18,1582.0,98.0,174.0,11.0,480.0,42.0,330.0,1085.0,2024-03-11 07:55:24,0.8.6,,6149.0,37.0,Oruga is a lightweight library of UI components without any CSS framework dependency.,3.0,3.0,83.0,26,True,3,,@oruga-ui/oruga,https://www.npmjs.com/package/@oruga-ui/oruga,6149.0,
30,Semantic UI Integration,Semantic-UI-Vue/Semantic-UI-Vue,"['vue3', 'javascript']",ui-frameworks,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,https://github.com/Semantic-UI-Vue/Semantic-UI-Vue,MIT,2017-08-25 10:11:54,2022-12-10 20:30:18,2020-06-03 23:01:02,562.0,,148.0,34.0,271.0,106.0,145.0,937.0,2020-06-03 22:45:05,0.11.0,,5640.0,29.0,Semantic UI integration for Vue.,1834.0,1834.0,71.0,24,True,3,-1.0,semantic-ui-vue,https://www.npmjs.com/package/semantic-ui-vue,5640.0,
31,Appolo Client integration,vuejs/apollo,"['vue2', 'vue3', 'appolo']",graphql-integrations,https://github.com/vuejs/apollo,https://github.com/vuejs/apollo,MIT,2016-09-18 18:44:06,2024-03-19 15:59:11,2024-03-19 15:59:06,1018.0,21.0,495.0,108.0,453.0,254.0,666.0,5982.0,2024-03-08 10:56:30,4.0.2,,,91.0,Apollo/GraphQL integration for VueJS.,3.0,3.0,136.0,23,True,1,,,,,
32,graphql-hooks,nearform/graphql-hooks,"['vue2', 'vue3']",graphql-clients,https://github.com/nearform/graphql-hooks,https://github.com/nearform/graphql-hooks,,2019-02-08 08:29:00,2024-03-11 22:24:46,2024-01-19 16:50:08,776.0,14.0,88.0,110.0,919.0,,239.0,1865.0,2024-01-19 16:50:14,typescript-example@4.0.0,,,100.0,Minimal hooks-first GraphQL client.,1104.0,1104.0,87.0,23,True,3,,,,,
33,CoreUI Components,coreui/coreui-vue,['coreui'],components,https://github.com/coreui/coreui-vue,https://github.com/coreui/coreui-vue,MIT,2018-02-26 18:15:21,2024-03-21 10:46:25,2024-03-21 10:36:51,583.0,23.0,131.0,16.0,47.0,3.0,215.0,584.0,2024-01-05 11:45:31,4.10.2,,,96.0,Bootstrap 5 based Vue 3 components and directives. CoreUI for Vue.js replaces and extends the Bootstrap 5 javascript...,3401.0,3401.0,7.0,23,True,2,,,,,
34,vuex-orm,vuex-orm/vuex-orm,['vue3'],state-management,https://github.com/vuex-orm/vuex-orm,https://github.com/vuex-orm/vuex-orm,MIT,2017-06-16 18:05:37,2022-12-10 17:16:42,2021-07-03 12:24:14,1334.0,,165.0,38.0,257.0,128.0,415.0,2361.0,2021-05-07 13:12:13,0.36.4,,,100.0,The Vuex plugin to enable Object-Relational Mapping access to the Vuex Store.,34.0,34.0,62.0,22,True,2,,,,,
35,coreui-free-vue-admin-template,coreui/coreui-free-vue-admin-template,"['vue3', 'bootstrap5', 'coreui']",admin-dashboards,https://github.com/coreui/coreui-free-vue-admin-template,https://github.com/coreui/coreui-free-vue-admin-template,MIT,2017-08-15 09:29:16,2024-01-02 19:39:52,2024-01-02 19:39:49,494.0,11.0,929.0,122.0,81.0,,199.0,3215.0,2022-11-25 13:55:14,4.2.0,,,60.0,Open source admin template based on Bootstrap 5 and Vue 3.,,,11.0,20,True,1,,,,,
36,vue-formulate,wearebraid/vue-formulate,,forms,https://github.com/wearebraid/vue-formulate,https://github.com/wearebraid/vue-formulate,MIT,2019-10-07 14:13:30,2023-05-06 23:19:06,2022-04-13 12:37:08,558.0,,243.0,30.0,126.0,113.0,339.0,2228.0,,,,,,The easiest way to build forms with Vue.,44.0,44.0,18.0,19,True,3,,,,,
37,villus,logaretm/villus,"['vue2', 'vue3']",graphql-clients,https://github.com/logaretm/villus,https://github.com/logaretm/villus,MIT,2019-12-22 20:52:31,2024-03-01 12:33:56,2024-03-01 12:33:28,636.0,6.0,31.0,9.0,72.0,12.0,124.0,781.0,2024-03-01 12:40:46,3.4.0,,,67.0,A tiny and fast GraphQL client for Vue.js.,13.0,13.0,22.0,19,True,3,,,,,
38,flowbite-vue,themesberg/flowbite-vue,['tailwind'],components,https://github.com/themesberg/flowbite-vue,https://github.com/themesberg/flowbite-vue,MIT,2022-06-02 08:04:40,2024-03-16 08:05:51,2024-02-26 10:38:57,440.0,7.0,100.0,10.0,130.0,38.0,91.0,633.0,,,,,,Official Vue 3 components built for Flowbite and Tailwind CSS.,1590.0,1590.0,38.0,19,True,3,,,,,
