,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,Electron,electron/electron,electron,desktop-apps,https://github.com/electron/electron,https://github.com/electron/electron,MIT,2013-04-12 01:47:36,2024-04-18 17:51:12,2024-04-18 00:04:06,28107,176.0,14575.0,2862,21601.0,832.0,18678.0,111865.0,2024-04-18 17:26:31,30.0.1,6218536.0,4312131.0,100.0,"Build cross-platform desktop apps with JavaScript, HTML, and CSS.",342641.0,342641.0,1449.0,https://www.npmjs.com/package/electron,3068424.0,50,True,1,,,
1,tailwindcss,tailwindlabs/tailwindcss,,css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2024-04-18 14:12:55,2024-04-18 14:12:54,5340,115.0,3893.0,607,2609.0,20.0,3206.0,78163.0,2024-03-27 19:46:36,3.4.3,2931568.0,71501.0,100.0,A utility-first CSS framework for rapid UI development.,8952434.0,8952434.0,283.0,,,46,True,1,['css'],,
2,Element Plus,element-plus/element-plus,element-plus,ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2024-04-18 16:06:33,2024-04-18 16:02:31,5208,146.0,13735.0,196,6837.0,1306.0,5048.0,23061.0,2024-04-12 07:27:18,2.7.0,,929020.0,100.0,A Vue.js 3 UI Library made by Element team.,82814.0,82814.0,601.0,https://www.npmjs.com/package/element-plus,929020.0,44,True,1,"['vue3', 'typescript']",,
3,vuex,vuejs/vuex,vuex,state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-04-02 10:27:09,2023-08-08 11:38:57,1210,,9479.0,763,971.0,95.0,1165.0,28359.0,2021-06-17 15:52:07,4.0.2,,6731060.0,51.0,Centralized State Management for Vue.js.,1282024.0,1282024.0,335.0,https://www.npmjs.com/package/vuex,6731060.0,43,True,1,['vue3'],,
4,xstate,statelyai/xstate,xstate,state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2024-04-17 09:33:13,2024-04-17 00:45:22,6611,71.0,1205.0,187,2195.0,68.0,1229.0,26106.0,2024-04-17 00:46:47,@xstate/vue@3.1.2,,6821940.0,100.0,Actor-based state management & orchestration for complex app logic.,255544.0,255544.0,354.0,https://www.npmjs.com/package/xstate,6821940.0,43,True,1,[],,
5,Quasar Framework,quasarframework/quasar,quasar,ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2024-04-18 03:38:33,2024-04-17 10:06:06,14037,441.0,3389.0,472,4599.0,469.0,7170.0,25193.0,2024-03-29 10:09:59,quasar-v2.15.2,,531494.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,46867.0,46867.0,716.0,https://www.npmjs.com/package/quasar,531494.0,43,True,1,"['vue3', 'javascript']",,
6,Axios,axios/axios,,http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2024-04-13 03:21:36,2024-03-30 17:11:01,1521,15.0,10534.0,1204,1592.0,544.0,3989.0,103964.0,2024-03-28 17:36:08,0.28.1,,,73.0,Promise based HTTP client for the browser and node.js.,12641542.0,12641542.0,457.0,,,42,True,1,"['vue2', 'vue3']",,
7,router,vuejs/router,router,routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2024-04-18 10:00:44,2024-04-18 10:00:34,2349,44.0,1101.0,55,1168.0,27.0,820.0,3616.0,2024-04-18 10:00:52,4.3.2,,2592330.0,60.0,The official router for Vue.js.,2226888.0,2226888.0,227.0,https://www.npmjs.com/package/router,2592330.0,42,True,1,['vue3'],2.0,
8,PrimeVue,primefaces/primevue,primevue,ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2024-04-18 14:37:45,2024-04-16 09:35:02,9108,511.0,988.0,74,1185.0,379.0,4004.0,7547.0,2024-04-04 07:38:15,3.51.0,,753052.0,100.0,Next Generation Vue UI Component Library.,20786.0,20786.0,245.0,https://www.npmjs.com/package/primevue,753052.0,41,True,2,"['vue3', 'typescript']",,
9,Bulma,jgthms/bulma,,css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2024-04-17 13:16:18,2024-04-17 13:16:12,1797,32.0,3878.0,592,1158.0,255.0,2313.0,48555.0,2024-03-21 17:55:47,1.0.0,782352.0,10030.0,18.0,Modern CSS framework based on Flexbox.,247086.0,247086.0,410.0,,,40,True,3,['css'],,
10,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,bootstrap-vue,ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2024-01-15 04:29:42,2023-07-28 00:24:13,5376,,1841.0,293,3674.0,162.0,3223.0,14457.0,2022-04-17 12:49:53,2.22.0,,1336097.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,174994.0,174994.0,356.0,https://www.npmjs.com/package/bootstrap-vue,1336097.0,39,True,2,"['vue2', 'javascript']",,
11,pinia,vuejs/pinia,pinia,state-management,https://github.com/vuejs/pinia,https://github.com/vuejs/pinia,MIT,2019-11-18 21:05:01,2024-04-17 12:45:31,2024-04-17 12:45:13,1915,61.0,954.0,65,834.0,26.0,645.0,12295.0,2023-10-13 09:39:45,pinia@2.1.7,,4845654.0,99.0,"Intuitive, type safe, light and flexible Store for Vue using the composition api with DevTools support.",223001.0,223001.0,231.0,https://www.npmjs.com/package/pinia,4845654.0,39,True,2,['vue3'],,
12,Tauri,tauri-apps/tauri,tauri,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,Apache-2.0,2019-07-13 09:09:37,2024-04-18 15:28:59,2024-04-18 15:09:05,4501,271.0,2241.0,488,4301.0,743.0,3037.0,77082.0,2024-04-15 13:12:24,tauri-cli-v2.0.0-beta.13,56772.0,29916.0,100.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",609.0,609.0,354.0,https://www.npmjs.com/package/tauri,1530.0,38,True,3,,,
13,Appolo Client,apollographql/apollo-client,,graphql-clients,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client,MIT,2016-02-26 20:25:00,2024-04-17 22:52:07,2024-04-17 13:20:00,12343,115.0,2595.0,286,6274.0,485.0,4543.0,19199.0,2024-04-10 13:55:24,3.9.11,,,100.0,"A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",181602.0,181602.0,873.0,,,38,True,1,"['vue2', 'vue3']",,
14,Naive UI,tusen-ai/naive-ui,naive-ui,ui-frameworks,https://github.com/tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,MIT,2021-06-04 13:47:28,2024-04-18 15:29:20,2024-04-05 15:49:36,8617,91.0,1575.0,88,2893.0,290.0,2451.0,15124.0,,,,122772.0,,A Vue 3 Component Library. Fairly Complete. Theme Customizable. Uses TypeScript. Fast.,28933.0,28933.0,299.0,https://www.npmjs.com/package/naive-ui,122772.0,38,True,2,"['vue3', 'typescript']",,
15,Ant Design Vue,vueComponent/ant-design-vue,ant-design-vue,ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2024-04-16 02:58:37,2024-03-23 02:40:28,5193,8.0,3655.0,301,1737.0,219.0,5306.0,19557.0,2024-01-05 11:34:20,4.1.0,,387053.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,53357.0,53357.0,270.0,https://www.npmjs.com/package/ant-design-vue,387053.0,37,True,3,['vue3'],-1.0,
16,vee-validate,logaretm/vee-validate,,forms,https://github.com/logaretm/vee-validate,https://github.com/logaretm/vee-validate,MIT,2016-07-30 01:10:44,2024-04-16 00:35:39,2024-04-16 00:35:39,4736,21.0,1225.0,116,896.0,86.0,3240.0,10522.0,2024-03-10 23:15:18,4.12.6,,,100.0,Painless Vue forms.,79000.0,79000.0,371.0,,,35,True,1,,,
17,vue-router,vuejs/vue-router,vue-router,routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2024-04-17 15:20:22,2024-04-09 08:16:13,1459,4.0,5027.0,511,972.0,64.0,2778.0,19025.0,2022-09-06 10:10:34,3.6.5,,11553583.0,90.0,The official router for Vue 2.,3.0,3.0,290.0,https://www.npmjs.com/package/vue-router,11553583.0,34,True,3,['vue2'],,
18,URQL,urql-graphql/urql,,graphql-clients,https://github.com/urql-graphql/urql,https://github.com/urql-graphql/urql,MIT,2018-01-24 01:44:42,2024-04-18 12:27:17,2024-04-18 12:27:04,2666,48.0,437.0,89,1463.0,22.0,914.0,8476.0,2024-04-18 12:24:14,@urql/core@5.0.1,,,100.0,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,389353.0,389353.0,248.0,,,34,True,2,"['vue2', 'vue3']",,
19,Vuestic UI,epicmaxco/vuestic-ui,vuestic-ui,ui-frameworks,https://github.com/epicmaxco/vuestic-ui,https://github.com/epicmaxco/vuestic-ui,MIT,2019-08-03 11:58:26,2024-04-17 07:40:41,2024-04-09 06:40:23,3470,131.0,317.0,32,1679.0,459.0,1944.0,3283.0,2024-04-02 23:57:48,1.9.8,,13549.0,53.0,Free and Open Source UI Library for Vue 3.,1409.0,1409.0,124.0,https://www.npmjs.com/package/vuestic-ui,13549.0,34,True,3,"['vue3', 'typescript']",,
