,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,projectrank,show,projectrank_placing,trending,labels,updated_github_id
0,Electron,electron/electron,electron,desktop-apps,https://github.com/electron/electron,https://github.com/electron/electron,MIT,2013-04-12 01:47:36,2024-05-16 18:01:39,2024-05-15 21:45:54,28174,181.0,14654.0,2859,21809.0,838.0,18780.0,112168.0,2024-05-15 22:53:42,29.4.0,5815104.0,4313562.0,100.0,"Build cross-platform desktop apps with JavaScript, HTML, and CSS.",346632.0,346632.0,1456.0,https://www.npmjs.com/package/electron,2859786.0,51,True,1,45.0,,
1,tailwindcss,tailwindlabs/tailwindcss,,css-frameworks,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14,2024-05-08 22:25:31,2024-05-08 17:26:59,5348,121.0,3924.0,610,2620.0,26.0,3225.0,78885.0,2024-03-27 19:46:36,3.4.3,3110829.0,74067.0,100.0,A utility-first CSS framework for rapid UI development.,9363730.0,9363730.0,284.0,,,46,True,1,,['css'],
2,Element Plus,element-plus/element-plus,element-plus,ui-frameworks,https://github.com/element-plus/element-plus,https://github.com/element-plus/element-plus,MIT,2020-07-21 06:51:19,2024-05-16 17:20:32,2024-05-16 05:00:58,5278,178.0,14161.0,201,6945.0,1337.0,5117.0,23324.0,2024-05-13 11:34:15,2.7.3,,1056441.0,100.0,A Vue.js 3 UI Library made by Element team.,85763.0,85763.0,611.0,https://www.npmjs.com/package/element-plus,1056441.0,44,True,1,,"['vue3', 'typescript']",
3,vuex,vuejs/vuex,vuex,state-management,https://github.com/vuejs/vuex,https://github.com/vuejs/vuex,MIT,2015-07-16 04:21:26,2024-05-01 19:02:02,2023-08-08 11:38:57,1210,,9484.0,764,974.0,95.0,1165.0,28374.0,2021-06-17 15:52:07,4.0.2,,6451484.0,51.0,Centralized State Management for Vue.js.,1289314.0,1289314.0,335.0,https://www.npmjs.com/package/vuex,6451484.0,43,True,1,,['vue3'],
4,xstate,statelyai/xstate,xstate,state-management,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate,MIT,2015-09-14 15:04:15,2024-05-16 17:27:19,2024-05-13 00:50:22,6621,57.0,1208.0,188,2213.0,69.0,1234.0,26233.0,2024-05-13 00:51:44,@xstate/store@0.0.4,,6844619.0,100.0,Actor-based state management & orchestration for complex app logic.,258566.0,258566.0,356.0,https://www.npmjs.com/package/xstate,6844619.0,43,True,1,,[],
5,Quasar Framework,quasarframework/quasar,quasar,ui-frameworks,https://github.com/quasarframework/quasar,https://github.com/quasarframework/quasar,MIT,2015-10-05 15:45:36,2024-05-16 04:25:11,2024-05-15 07:33:10,14229,578.0,3407.0,474,4609.0,472.0,7194.0,25302.0,2024-05-14 09:24:48,quasar-v2.16.4,,542222.0,100.0,Quasar Framework - Build high-performance VueJS user interfaces in record time.,47696.0,47696.0,719.0,https://www.npmjs.com/package/quasar,542222.0,43,True,1,,"['vue3', 'javascript']",
6,vue-router,vuejs/vue-router,vue-router,routing,https://github.com/vuejs/vue-router,https://github.com/vuejs/vue-router,MIT,2013-12-11 19:37:46,2024-05-14 12:08:44,2024-05-14 12:08:44,1461,6.0,5014.0,511,974.0,64.0,2779.0,19010.0,2022-09-06 10:10:34,3.6.5,,11701015.0,90.0,The official router for Vue 2.,2254616.0,2254616.0,291.0,https://www.npmjs.com/package/vue-router,11701015.0,43,True,1,,['vue2'],
7,Axios,axios/axios,,http-clients,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27,2024-05-16 13:38:22,2024-05-07 18:37:01,1527,11.0,10559.0,1201,1604.0,562.0,3995.0,104189.0,2024-03-28 17:36:08,0.28.1,,,75.0,Promise based HTTP client for the browser and node.js.,12931410.0,12931410.0,458.0,,,42,True,1,,"['vue2', 'vue3']",
8,PrimeVue,primefaces/primevue,primevue,ui-frameworks,https://github.com/primefaces/primevue,https://github.com/primefaces/primevue,MIT,2018-12-04 07:04:14,2024-05-16 14:52:18,2024-05-16 10:42:28,9197,281.0,1017.0,76,1211.0,396.0,4099.0,7887.0,2024-05-15 12:20:47,4.0.0-beta.3,,855806.0,100.0,Next Generation Vue UI Component Library.,22055.0,22055.0,260.0,https://www.npmjs.com/package/primevue,855806.0,41,True,2,,"['vue3', 'typescript']",
9,router,vuejs/router,router,routing,https://github.com/vuejs/router,https://github.com/vuejs/router,MIT,2019-02-07 18:09:43,2024-05-15 02:50:14,2024-05-15 02:50:14,2354,36.0,1111.0,57,1170.0,27.0,832.0,3660.0,2024-04-18 10:00:52,4.3.2,,2609803.0,60.0,The official router for Vue.js.,2254616.0,2254616.0,229.0,https://www.npmjs.com/package/router,2609803.0,41,True,3,,['vue3'],
10,Bulma,jgthms/bulma,,css-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34,2024-05-02 11:56:13,2024-04-30 13:12:40,1808,40.0,3879.0,592,1163.0,260.0,2332.0,48668.0,2024-03-21 17:55:47,1.0.0,790989.0,10012.0,18.0,Modern CSS framework based on Flexbox.,248466.0,248466.0,413.0,,,40,True,3,,['css'],
11,Bootstrap v4 Integration,bootstrap-vue/bootstrap-vue,bootstrap-vue,ui-frameworks,https://github.com/bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,MIT,2016-10-08 15:59:35,2024-04-29 13:27:09,2023-07-28 00:24:13,5376,,1849.0,293,3676.0,164.0,3223.0,14462.0,2022-04-17 12:49:53,2.22.0,,1377418.0,100.0,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and..,176012.0,176012.0,356.0,https://www.npmjs.com/package/bootstrap-vue,1377418.0,40,True,2,,"['vue2', 'javascript']",
12,Ant Design Vue,vueComponent/ant-design-vue,ant-design-vue,ui-frameworks,https://github.com/vueComponent/ant-design-vue,https://github.com/vueComponent/ant-design-vue,,2017-09-20 06:04:01,2024-05-16 07:07:47,2024-05-09 13:21:20,5230,41.0,3672.0,302,1765.0,205.0,5359.0,19672.0,2024-04-25 01:44:59,4.2.1,,447641.0,100.0,An enterprise-class UI components based on Ant Design and Vue.,54194.0,54194.0,279.0,https://www.npmjs.com/package/ant-design-vue,447641.0,39,True,2,1.0,['vue3'],
